,city,state,state_full
6465,Anchorage,AK,Alaska
1004,Big Lake,AK,Alaska
4778,Ketchikan,AK,Alaska
1005,Wasilla,AK,Alaska
2127,Alabaster,AL,Alabama
7666,Anniston,AL,Alabama
6918,Birmingham,AL,Alabama
2125,Clanton,AL,Alabama
6483,Clay,AL,Alabama
7903,Cullman,AL,Alabama
4998,Decatur,AL,Alabama
5390,Dothan,AL,Alabama
1447,Fairhope,AL,Alabama
4189,Florence,AL,Alabama
4441,Foley,AL,Alabama
6485,Gardendale,AL,Alabama
4191,Helena,AL,Alabama
2035,Huntsville,AL,Alabama
7701,Jasper,AL,Alabama
4986,Madison,AL,Alabama
3762,Millbrook,AL,Alabama
621,Mobile,AL,Alabama
7084,Owens Cross Roads,AL,Alabama
6655,Pelham,AL,Alabama
6342,Phil Campbell,AL,Alabama
6486,Pinson,AL,Alabama
6381,Prichard,AL,Alabama
7905,Tuscaloosa,AL,Alabama
3199,Bryant,AR,Arkansas
4226,Elkins,AR,Arkansas
7140,Jacksonville,AR,Arkansas
5411,Jonesboro,AR,Arkansas
5880,Lincoln,AR,Arkansas
6931,Little Rock,AR,Arkansas
4996,Mountain Home,AR,Arkansas
7042,Rogers,AR,Arkansas
2964,Russellville,AR,Arkansas
4414,Searcy,AR,Arkansas
6152,Springdale,AR,Arkansas
7705,Texarkana,AR,Arkansas
3885,Avondale,AZ,Arizona
4988,Bullhead City,AZ,Arizona
2265,Chandler,AZ,Arizona
2637,Glendale,AZ,Arizona
2246,Lake Havasu City,AZ,Arizona
2254,Mesa,AZ,Arizona
6410,Page,AZ,Arizona
2264,Peoria,AZ,Arizona
663,Phoenix,AZ,Arizona
2718,Prescott Valley,AZ,Arizona
6713,Scottsdale,AZ,Arizona
2164,Tempe,AZ,Arizona
1502,Tucson,AZ,Arizona
2270,Winslow,AZ,Arizona
2356,Alameda,CA,California
569,Albany,CA,California
750,Anaheim,CA,California
802,Antioch,CA,California
850,Arcata,CA,California
1344,Arleta,CA,California
1488,Atwater,CA,California
1515,Auburn,CA,California
567,Azusa,CA,California
1500,Bakersfield,CA,California
1854,Baldwin Park,CA,California
2353,Bay Point,CA,California
1783,Bell,CA,California
1379,Bell Gardens,CA,California
1655,Bellflower,CA,California
890,Berkeley,CA,California
1539,Buena Park,CA,California
1895,Burbank,CA,California
1289,Camarillo,CA,California
6795,Cameron Park,CA,California
140,Campbell,CA,California
1222,Canoga Park,CA,California
116,Capitola,CA,California
662,Carlsbad,CA,California
5015,Carmichael,CA,California
4609,Carson,CA,California
6482,Castro Valley,CA,California
853,Chico,CA,California
3225,Chino,CA,California
2790,Chualar,CA,California
1007,Chula Vista,CA,California
547,Citrus Heights,CA,California
1300,Commerce,CA,California
1408,Compton,CA,California
780,Concord,CA,California
752,Corona,CA,California
3753,Coronado,CA,California
1584,Costa Mesa,CA,California
1527,Covina,CA,California
4203,Crescent City,CA,California
5883,Cypress,CA,California
972,Daly City,CA,California
631,Dixon,CA,California
2159,Downey,CA,California
1516,East Los Angeles,CA,California
536,East Palo Alto,CA,California
1115,El Cajon,CA,California
467,El Cerrito,CA,California
6796,El Dorado Hills,CA,California
1541,El Monte,CA,California
1172,El Segundo,CA,California
746,El Sobrante,CA,California
5245,Elk Grove,CA,California
4770,Encinitas,CA,California
1328,Encino,CA,California
2109,Escondido,CA,California
846,Eureka,CA,California
2115,Fallbrook,CA,California
400,Folsom,CA,California
582,Fontana,CA,California
1864,Fort Bragg,CA,California
4462,Frazier Park,CA,California
1467,Freedom,CA,California
168,Fremont,CA,California
308,Fresno,CA,California
2016,Fullerton,CA,California
1074,Garden Grove,CA,California
1069,Gardena,CA,California
798,Glendale,CA,California
664,Glendora,CA,California
1331,Goleta,CA,California
1324,Granada Hills,CA,California
4589,Grass Valley,CA,California
1382,Greenfield,CA,California
1412,Gualala,CA,California
1937,Hacienda Heights,CA,California
4425,Harbor City,CA,California
2695,Hawaiian Gardens,CA,California
1174,Hawthorne,CA,California
136,Hayward,CA,California
1178,Hermosa Beach,CA,California
4765,Highland,CA,California
1327,Highland Park,CA,California
4790,Hollister,CA,California
1518,Huntington Beach,CA,California
1533,Huntington Park,CA,California
1006,Imperial Beach,CA,California
1524,Indio,CA,California
668,Inglewood,CA,California
1928,La Habra,CA,California
1092,La Mesa,CA,California
1260,La Puente,CA,California
1587,Laguna Hills,CA,California
3863,Laguna Niguel,CA,California
2129,Lake Elsinore,CA,California
1025,Lake Forest,CA,California
1086,Lakeside,CA,California
1534,Lancaster,CA,California
1181,Lawndale,CA,California
5881,Lincoln,CA,California
2184,Littlerock,CA,California
107,Live Oak,CA,California
3206,Livermore,CA,California
5338,Lodi,CA,California
1022,Loma Linda,CA,California
1023,Lomita,CA,California
